Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
1,3,4,4,2,1,5,1,1,-0.77,-1.453,0,0.929,-0.554,0,0,0,1
2,2,4,4,5,2,5,4,4,-0.345,0,-0.489,0.149,-0.554,1.482,1,0,0
3,3,2,2,2,3,2,2,1,-0.406,-0.575,-0.234,0.693,-0.182,-1.482,0,0,0
4,3,3,2,2,2,5,3,1,-0.575,-0.197,-0.429,0,0.554,0,2,1,
5,2,5,3,3,2,5,5,3,0,-0.77,0.097,0.546,0.554,0.684,1,0,0
6,2,5,5,3,3,2,3,1,0.169,-0.169,-0.726,0.37,0.951,0.684,2,1,0
7,5,4,3,3,2,5,4,3,0.345,0.406,-0.543,-1.04,0.951,1.059,1,0,0
8,1,4,5,3,2,5,4,3,-0.169,0,-0.289,-1.336,1.393,-0.335,,,
9,2,4,3,1,3,5,3,2,-0.345,-0.523,-0.621,0.287,,0.335,1,0,0
10,2,4,3,2,2,2,4,1,-0.169,-0.376,0,0,-1.393,-0.335,1,0,1
11,3,4,3,3,2,3,3,1,0,-0.77,-0.412,-0.159,0.554,0,0,0,0
12,3,1,3,5,1,5,1,2,-0.345,0.77,0,0,-0.554,-0.684,1,0,1
13,2,4,1,4,2,5,1,5,1.074,-0.181,0.169,0.633,-0.951,-1.059,2,1,0
14,5,4,2,2,5,5,4,1,-0.864,-0.376,-0.331,0.287,0.951,1.059,1,0,1
15,3,5,4,3,2,5,4,4,0.376,0.197,0,-0.738,-0.554,-0.335,,,
16,2,5,5,3,1,5,2,1,-0.864,-0.376,-0.631,-0.181,-0.951,-1.482,1,0,0
17,5,5,3,5,3,5,3,2,-0.77,-0.575,-1.165,0.871,0.554,0.684,1,0,0
18,2,4,3,3,3,5,4,5,-0.523,-0.77,-0.566,-0.287,1.393,1.482,1,0,0
19,1,3,3,2,2,5,3,1,-0.169,-1.453,-0.915,0.149,1.393,0.684,0,0,0
20,4,4,2,2,3,3,4,2,-0.575,-0.376,-0.206,0.327,-0.951,-0.335,1,0,0
21,4,2,2,2,2,5,5,1,0,-0.77,-0.408,-0.327,1.393,1.059,2,1,0
22,3,4,2,5,3,3,4,1,0,-0.376,-0.543,0,1.393,0,1,0,0
23,2,2,5,2,2,5,3,1,0,-0.376,-0.978,1.036,0.951,0.684,1,0,0
